Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,zscore
242,30,RM,40.0,3880,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,9,1945-01-01,1997-01-01,Gable,CompShg,VinylSd,VinylSd,None,0,3,4,CBlock,3,3,No,ALQ,329,Unf,0,357,686,GasA,4,Y,SBrkr,866,0,0,866,0,0,1,0,2,1,4,4,Typ,0,0,None,,None,0,0,0,0,Y,58,42,0,0,0,0,0,None,None,0,,2007-01-01,WD,Normal,110500,-1.2363662898209562
243,50,RM,63.0,5000,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,4,1900-01-01,1950-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,3,3,No,Unf,0,Unf,0,540,540,GasA,4,N,FuseA,889,551,0,1440,0,0,1,0,3,1,3,6,Typ,0,0,Attchd,1940-01-01,Unf,1,352,2,3,Y,0,0,77,0,0,0,0,None,None,0,,2006-01-01,WD,Normal,79000,-0.1436581802621168
244,160,RL,75.0,10762,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,TwnhsE,2Story,6,6,1980-01-01,1980-01-01,Gable,CompShg,Plywood,Plywood,None,0,3,3,CBlock,4,3,No,Unf,0,Unf,0,626,626,GasA,3,Y,SBrkr,626,591,0,1217,0,0,1,1,3,1,3,6,Typ,1,3,Attchd,1980-01-01,RFn,1,288,3,3,Y,0,28,0,0,0,0,0,None,None,0,,2009-01-01,WD,Normal,120000,-0.5681771844983907
245,60,RL,69.0,8880,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1994-01-01,2002-01-01,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,No,GLQ,695,Unf,0,253,948,GasA,5,Y,SBrkr,1222,888,0,2110,1,0,2,1,3,1,4,8,Typ,2,2,Attchd,1994-01-01,RFn,2,463,3,3,Y,0,130,0,0,0,0,0,None,None,0,,2010-01-01,WD,Normal,205000,1.1318025051114413
246,20,RL,80.0,10400,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,1988-01-01,1988-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,102,3,3,CBlock,4,3,Av,GLQ,929,Unf,0,916,1845,GasA,4,Y,SBrkr,1872,0,0,1872,0,1,2,0,3,1,3,6,Typ,1,3,Attchd,1988-01-01,Fin,2,604,3,3,Y,197,39,0,0,0,0,0,None,None,0,,2006-01-01,WD,Normal,241500,0.6787284109041177
247,190,RM,69.0,9142,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,6,8,1910-01-01,1950-01-01,Gable,CompShg,AsbShng,AsbShng,None,0,3,2,Stone,2,3,No,Unf,0,Unf,0,1020,1020,GasA,4,N,FuseP,908,1020,0,1928,0,0,2,0,4,2,2,9,Typ,0,0,Detchd,1910-01-01,Unf,1,440,1,1,Y,0,60,112,0,0,0,0,None,None,0,,2006-01-01,WD,Normal,137000,0.7853340801293703
248,20,RL,75.0,11310,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1954-01-01,1954-01-01,Hip,CompShg,Wd Sdng,BrkFace,None,0,3,3,CBlock,3,3,No,Unf,0,Unf,0,1367,1367,GasA,5,Y,SBrkr,1375,0,0,1375,0,0,1,0,2,1,3,5,Typ,1,3,Attchd,1954-01-01,Unf,2,451,3,3,Y,0,30,0,0,0,0,0,None,None,0,,2006-01-01,WD,Normal,140000,-0.26739690346999934
249,60,RL,72.0,11317,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003-01-01,2003-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,101,4,3,PConc,4,3,No,Unf,0,Unf,0,840,840,GasA,5,Y,SBrkr,840,828,0,1668,0,0,2,1,3,1,4,8,Typ,0,0,Attchd,2003-01-01,RFn,2,500,3,3,Y,144,68,0,0,0,0,0,None,None,0,,2007-01-01,WD,Normal,180000,0.29037918729784035
250,50,RL,69.0,159000,Pave,None,IR2,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,1.5Fin,6,7,1958-01-01,2006-01-01,Gable,CompShg,Wd Sdng,HdBoard,BrkCmn,472,4,3,CBlock,4,3,Gd,Rec,697,Unf,0,747,1444,GasA,4,Y,SBrkr,1444,700,0,2144,0,1,2,0,4,1,4,7,Typ,2,3,Attchd,1958-01-01,Fin,2,389,3,3,Y,0,98,0,0,0,0,0,None,Shed,500,,2007-01-01,WD,Normal,277000,1.1965273757124877
251,30,RL,55.0,5350,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,3,2,1940-01-01,1966-01-01,Gable,CompShg,Wd Sdng,Plywood,None,0,3,1,CBlock,3,3,No,Unf,0,Unf,0,728,728,GasA,5,Y,SBrkr,1306,0,0,1306,0,0,1,0,3,1,2,6,Mod,0,0,None,,None,0,0,0,0,Y,263,0,0,0,0,0,0,GdWo,Shed,450,,2010-01-01,WD,Normal,76500,-0.3987503173368285
252,120,RM,44.0,4750,Pave,None,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,TwnhsE,1Story,8,5,2006-01-01,2007-01-01,Hip,CompShg,VinylSd,VinylSd,Stone,481,4,3,PConc,4,3,Gd,GLQ,1573,Unf,0,0,1573,GasA,5,Y,SBrkr,1625,0,0,1625,1,1,2,0,2,1,4,5,Typ,1,4,Attchd,2006-01-01,Fin,2,538,3,3,Y,123,0,0,0,153,0,0,None,None,0,,2007-01-01,WD,Family,235000,0.20852126271416419
253,60,RL,65.0,8366,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,2004-01-01,2004-01-01,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,No,Unf,0,Unf,0,798,798,GasA,5,Y,SBrkr,798,842,0,1640,0,0,2,1,3,1,4,6,Typ,0,0,Attchd,2004-01-01,RFn,2,520,3,3,Y,138,45,0,0,0,0,0,None,None,0,,2008-01-01,WD,Normal,173000,0.23707635268521401
254,80,RL,85.0,9350,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,7,1964-01-01,1991-01-01,Hip,CompShg,HdBoard,HdBoard,BrkFace,108,3,3,CBlock,4,3,Gd,LwQ,270,ALQ,580,452,1302,GasA,5,Y,SBrkr,1302,0,0,1302,0,1,2,0,3,1,4,7,Min1,0,0,Attchd,1964-01-01,RFn,1,309,3,3,Y,333,0,0,0,0,0,0,MnPrv,None,0,,2007-01-01,CWD,Normal,158000,-0.4063650079957751
255,20,RL,70.0,8400,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957-01-01,1957-01-01,Gable,CompShg,MetalSd,MetalSd,None,0,3,4,CBlock,3,3,No,Rec,922,Unf,0,392,1314,GasA,3,Y,SBrkr,1314,0,0,1314,1,0,1,0,3,1,3,5,Typ,0,0,Attchd,1957-01-01,RFn,1,294,3,3,Y,250,0,0,0,0,0,0,None,None,0,,2010-01-01,WD,Normal,145000,-0.3835209360189352
256,60,RL,66.0,8738,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999-01-01,1999-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,302,4,3,PConc,4,3,No,Unf,0,Unf,0,975,975,GasA,5,Y,SBrkr,1005,1286,0,2291,0,0,2,1,4,1,4,8,Typ,1,3,BuiltIn,1999-01-01,Fin,2,429,3,3,Y,192,0,0,0,0,0,0,None,None,0,,2006-01-01,WD,Normal,230000,1.4763672574287758
257,60,FV,64.0,8791,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,6,5,2003-01-01,2003-01-01,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,No,Rec,503,Unf,0,361,864,GasA,5,Y,SBrkr,864,864,0,1728,0,0,2,1,3,1,4,7,Typ,0,0,Attchd,2003-01-01,RFn,2,673,3,3,Y,216,56,0,0,0,0,0,None,None,0,,2008-01-01,WD,Normal,207500,0.40459954718203955
258,20,RL,68.0,8814,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006-01-01,2006-01-01,Gable,CompShg,VinylSd,VinylSd,Stone,180,4,3,PConc,4,3,No,GLQ,1334,Unf,0,270,1604,GasA,5,Y,SBrkr,1604,0,0,1604,1,0,2,1,3,1,4,8,Typ,1,4,Attchd,2006-01-01,RFn,2,660,3,3,Y,123,110,0,0,0,0,0,None,None,0,,2009-01-01,WD,Abnorml,220000,0.16854413675469446
259,60,RL,80.0,12435,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001-01-01,2001-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,172,4,3,PConc,4,3,No,GLQ,361,Unf,0,602,963,GasA,5,Y,SBrkr,963,829,0,1792,0,0,2,1,3,1,4,7,Typ,1,3,Attchd,2001-01-01,RFn,2,564,3,3,Y,0,96,0,245,0,0,0,None,None,0,,2008-01-01,WD,Normal,231500,0.5264345977251854
260,20,RM,70.0,12702,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1956-01-01,1956-01-01,Gable,CompShg,BrkFace,BrkFace,None,0,3,3,PConc,0,0,None,None,0,None,0,0,0,GasA,4,Y,FuseA,882,0,0,882,0,0,1,0,2,1,3,4,Typ,0,0,Detchd,1956-01-01,Unf,1,308,3,3,Y,0,45,0,0,0,0,0,None,None,0,,2008-01-01,WD,Normal,97000,-1.2059075271851698
261,80,RL,120.0,19296,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,SLvl,6,5,1962-01-01,1962-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,399,3,3,CBlock,3,3,Gd,Rec,672,ALQ,690,0,1362,GasA,3,Y,SBrkr,1382,0,0,1382,1,0,1,0,3,1,3,6,Typ,1,3,Attchd,1991-01-01,Unf,2,884,3,3,Y,0,0,252,0,0,0,0,GdWo,None,0,,2009-01-01,WD,Normal,176000,-0.25407119481684276
262,60,RL,69.0,9588,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2007-01-01,2007-01-01,Gable,CompShg,CemntBd,CmentBd,Stone,270,4,3,PConc,5,3,No,Unf,0,Unf,0,1482,1482,GasA,5,Y,SBrkr,1482,1092,0,2574,0,0,2,1,3,1,5,10,Typ,1,4,BuiltIn,2007-01-01,Fin,3,868,3,3,Y,0,148,0,0,0,0,0,None,None,0,,2007-01-01,New,Partial,276000,2.015106621549249
263,80,RL,88.0,8471,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,6,7,1977-01-01,1995-01-01,Gable,CompShg,HdBoard,Plywood,BrkFace,46,3,3,CBlock,4,4,Av,ALQ,506,Unf,0,0,506,GasA,3,Y,SBrkr,1212,0,0,1212,1,0,1,0,3,1,3,6,Typ,1,3,Attchd,1978-01-01,Unf,2,492,3,3,Y,292,12,0,0,0,0,0,GdWo,None,0,,2006-01-01,WD,Normal,151000,-0.5776955478220739
264,50,RM,50.0,5500,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1929-01-01,2001-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,3,3,No,LwQ,234,ALQ,692,0,926,GasA,3,Y,SBrkr,926,0,390,1316,1,0,1,0,3,1,3,6,Typ,0,0,Detchd,1974-01-01,Unf,2,484,3,3,Y,0,0,0,0,0,0,0,None,None,0,,2010-01-01,WD,Normal,130000,-0.3797135906894619
265,30,RM,30.0,5232,Pave,Grvl,IR3,Bnk,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1925-01-01,2004-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,2,3,No,Unf,0,Unf,0,680,680,GasA,4,N,FuseP,764,0,0,764,0,0,1,0,2,1,3,4,Typ,0,0,Detchd,1965-01-01,Unf,2,504,3,3,N,0,0,0,0,0,0,0,None,None,0,,2008-01-01,WD,Normal,73000,-1.4305409016240949
266,20,RL,78.0,12090,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1981-01-01,1981-01-01,Gable,CompShg,MetalSd,MetalSd,BrkFace,210,3,4,CBlock,4,3,No,GLQ,588,LwQ,228,606,1422,GasA,3,Y,SBrkr,1422,0,0,1422,0,0,2,0,3,1,4,7,Typ,1,3,Attchd,1981-01-01,Fin,2,576,3,3,Y,276,0,0,0,0,0,0,GdPrv,None,0,,2008-01-01,WD,Normal,175500,-0.17792428822737658
267,60,RL,70.0,11207,Pave,None,IR1,HLS,AllPub,FR2,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997-01-01,1997-01-01,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,4,3,Av,GLQ,714,Unf,0,88,802,GasA,4,Y,SBrkr,802,709,0,1511,1,0,2,1,3,1,3,8,Typ,1,3,Attchd,1997-01-01,Fin,2,413,3,3,Y,95,75,0,0,0,0,0,None,None,0,,2006-01-01,WD,Normal,185000,-0.00849742106581437
268,75,RL,60.0,8400,Pave,None,Reg,Bnk,AllPub,Inside,Mod,SWISU,Norm,Norm,1Fam,2.5Fin,5,8,1939-01-01,1997-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,PConc,3,3,No,LwQ,378,Unf,0,342,720,GasA,5,Y,SBrkr,1052,720,420,2192,0,0,2,1,4,1,4,8,Typ,1,4,Detchd,1939-01-01,Unf,1,240,3,3,Y,262,24,0,0,0,0,0,None,None,0,,2008-01-01,WD,Normal,179500,1.287903663619847
269,30,RM,71.0,6900,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,6,1940-01-01,1955-01-01,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,CBlock,3,3,No,ALQ,403,Rec,125,212,740,GasA,5,Y,SBrkr,778,0,0,778,0,0,1,0,2,1,3,4,Typ,1,4,Detchd,1966-01-01,Fin,1,924,5,5,Y,0,25,0,0,0,0,0,None,None,0,,2008-01-01,WD,Normal,120500,-1.4038894843177818
270,20,RL,69.0,7917,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,7,1976-01-01,1976-01-01,Hip,CompShg,HdBoard,HdBoard,BrkFace,174,3,4,CBlock,3,4,No,BLQ,751,Unf,0,392,1143,GasA,3,Y,SBrkr,1113,0,0,1113,1,0,1,1,3,1,3,6,Typ,1,2,Attchd,1987-01-01,RFn,1,504,3,4,Y,370,30,0,0,0,0,0,GdPrv,None,0,,2007-01-01,WD,Normal,148000,-0.7661591416310027
271,60,FV,84.0,10728,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2006-01-01,2006-01-01,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,Mn,Unf,0,Unf,0,1095,1095,GasA,4,Y,SBrkr,1095,844,0,1939,0,0,2,1,3,1,4,8,Typ,1,4,Attchd,2006-01-01,RFn,3,1053,3,3,Y,192,51,0,0,0,0,0,None,None,0,,2006-01-01,New,Partial,266000,0.8062744794414736
272,20,RL,73.0,39104,Pave,None,IR1,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,1Story,7,7,1954-01-01,2005-01-01,Flat,Membran,Plywood,Plywood,None,0,3,3,CBlock,4,3,Gd,LwQ,226,GLQ,1063,96,1385,GasA,5,Y,SBrkr,1363,0,0,1363,1,0,1,0,2,1,3,5,Mod,2,3,Attchd,1954-01-01,Unf,2,439,3,3,Y,81,0,0,0,0,0,0,None,None,0,,2008-01-01,WD,Normal,241500,-0.2902409754468392
273,60,RL,92.0,11764,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,7,1999-01-01,2007-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,348,4,3,PConc,4,3,No,GLQ,524,Unf,0,628,1152,GasA,5,Y,SBrkr,1164,1106,0,2270,0,0,2,1,4,1,4,9,Typ,1,4,Attchd,1999-01-01,Fin,3,671,3,3,Y,132,57,0,0,0,0,0,None,None,0,,2010-01-01,WD,Normal,290000,1.4363901314693062
274,20,RL,80.0,9600,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,6,1958-01-01,1988-01-01,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,183,3,3,CBlock,3,3,No,Rec,620,LwQ,620,0,1240,GasA,4,Y,SBrkr,1632,0,0,1632,1,0,2,0,3,1,3,6,Min1,1,4,Attchd,1958-01-01,RFn,1,338,3,3,Y,289,0,0,0,0,0,0,MnPrv,None,0,,2009-01-01,WD,Normal,139000,0.22184697136732076
275,20,RL,76.0,8314,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,7,1982-01-01,1982-01-01,Gable,CompShg,HdBoard,ImStucc,None,0,3,3,CBlock,3,3,Gd,ALQ,546,Unf,0,270,816,GasA,3,Y,SBrkr,816,0,0,816,0,0,1,0,2,1,3,5,Typ,0,0,Attchd,1982-01-01,Unf,1,264,3,3,Y,168,0,0,0,0,0,0,None,None,0,,2007-01-01,WD,Normal,124500,-1.331549923057789
276,50,RL,55.0,7264,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,7,7,1925-01-01,2007-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,4,4,BrkTil,3,3,No,Unf,0,Unf,0,952,952,GasW,4,N,SBrkr,952,596,0,1548,0,0,2,1,3,1,5,5,Typ,0,0,Detchd,1978-01-01,Unf,2,672,3,3,Y,74,0,0,0,144,0,0,None,None,0,,2009-01-01,WD,Normal,205000,0.061938467529441835
277,20,RL,129.0,9196,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,7,5,2003-01-01,2003-01-01,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,5,3,No,Unf,0,Unf,0,1560,1560,GasA,5,Y,SBrkr,1560,0,0,1560,0,0,2,0,3,1,4,7,Typ,0,0,Attchd,2003-01-01,Fin,2,573,3,3,Y,100,150,0,0,0,0,0,None,None,0,,2010-01-01,WD,Normal,201000,0.08478253950628169
278,20,RL,140.0,19138,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951-01-01,1951-01-01,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,CBlock,3,3,No,LwQ,120,Unf,0,744,864,GasA,5,Y,SBrkr,864,0,0,864,0,0,1,0,2,1,3,4,Typ,0,0,Detchd,1951-01-01,Unf,2,400,3,3,Y,0,0,0,0,0,0,0,None,None,0,,2010-01-01,WD,Normal,141000,-1.2401736351504296
279,20,RL,107.0,14450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2006-01-01,2007-01-01,Gable,CompShg,CemntBd,CmentBd,BrkFace,315,5,3,PConc,5,3,Gd,Unf,0,Unf,0,2121,2121,GasA,5,Y,SBrkr,2121,0,0,2121,0,0,2,1,3,1,5,8,Typ,1,5,Attchd,2007-01-01,Fin,3,732,3,3,Y,124,98,0,0,142,0,0,None,None,0,,2007-01-01,New,Partial,415298,1.1527429044235447
280,60,RL,83.0,10005,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,2Story,7,5,1977-01-01,1977-01-01,Hip,CompShg,Plywood,Plywood,BrkFace,299,3,3,CBlock,4,3,No,BLQ,392,Unf,0,768,1160,GasA,5,Y,SBrkr,1156,866,0,2022,0,0,2,1,4,1,3,8,Typ,1,3,Attchd,1977-01-01,Fin,2,505,3,3,Y,288,117,0,0,0,0,0,None,None,0,,2008-01-01,WD,Normal,192000,0.9642793106146159
281,60,RL,82.0,11287,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,6,1989-01-01,1989-01-01,Gable,CompShg,Plywood,Plywood,BrkFace,340,4,3,CBlock,4,3,Av,GLQ,421,Unf,0,386,807,GasA,4,Y,SBrkr,1175,807,0,1982,0,0,2,1,3,1,4,7,Typ,1,3,Attchd,1989-01-01,Fin,2,575,3,3,Y,0,84,0,196,0,0,0,None,None,0,,2007-01-01,WD,Normal,228500,0.8881324040251497
282,20,FV,60.0,7200,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,2006-01-01,2006-01-01,Gable,CompShg,VinylSd,VinylSd,Stone,68,4,3,PConc,4,3,No,GLQ,905,Unf,0,357,1262,GasA,4,Y,SBrkr,1262,0,0,1262,0,0,2,0,2,1,4,5,Typ,0,0,Attchd,2006-01-01,Fin,2,572,3,3,Y,0,120,0,0,0,0,0,None,None,0,,2006-01-01,New,Partial,185000,-0.48251191458524123
283,120,RL,34.0,5063,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,1Story,7,5,2007-01-01,2008-01-01,Gable,CompShg,VinylSd,VinylSd,Stone,166,4,3,PConc,4,3,No,GLQ,904,Unf,0,410,1314,GasA,5,Y,SBrkr,1314,0,0,1314,1,0,2,0,2,1,4,6,Typ,1,4,Attchd,2008-01-01,RFn,2,626,3,3,Y,172,62,0,0,0,0,0,None,None,0,,2009-01-01,ConLw,Normal,207500,-0.3835209360189352
284,20,RL,74.0,9612,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Feedr,Norm,1Fam,1Story,8,5,2008-01-01,2009-01-01,Gable,CompShg,VinylSd,VinylSd,Stone,72,4,3,PConc,4,3,No,Unf,0,Unf,0,1468,1468,GasA,5,Y,SBrkr,1468,0,0,1468,0,0,2,0,3,1,4,6,Typ,1,4,Attchd,2008-01-01,Fin,3,898,3,3,Y,210,150,0,0,0,0,0,None,None,0,,2009-01-01,New,Partial,244600,-0.09035534564949049
285,120,RL,50.0,8012,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1992-01-01,1992-01-01,Gable,CompShg,Plywood,ImStucc,None,0,4,3,PConc,4,3,No,GLQ,430,Unf,0,1145,1575,GasA,4,Y,SBrkr,1575,0,0,1575,1,0,2,0,2,1,4,5,Typ,0,0,Attchd,1992-01-01,RFn,2,529,3,3,Y,0,0,52,0,0,0,0,None,None,0,,2007-01-01,WD,Normal,179200,0.11333762947733149
286,160,FV,35.0,4251,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2006-01-01,2007-01-01,Gable,CompShg,MetalSd,MetalSd,None,0,4,3,PConc,4,3,No,Unf,0,Unf,0,625,625,GasA,5,Y,SBrkr,625,625,0,1250,0,0,2,1,2,1,4,5,Typ,0,0,Detchd,2006-01-01,RFn,2,528,3,3,Y,0,54,0,0,0,0,0,None,None,0,,2007-01-01,New,Partial,164700,-0.505355986562081
287,50,RL,77.0,9786,Pave,None,IR1,Bnk,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,6,7,1962-01-01,1981-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,No,Rec,600,Unf,0,312,912,GasA,3,Y,SBrkr,1085,649,0,1734,0,0,1,1,3,1,4,7,Typ,1,4,Attchd,1962-01-01,RFn,2,440,3,3,Y,0,0,0,0,128,0,0,GdPrv,None,0,,2006-01-01,WD,Normal,159000,0.4160215831704595
288,20,RL,69.0,8125,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,4,1971-01-01,1971-01-01,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,3,3,No,BLQ,614,Unf,0,244,858,GasA,3,Y,SBrkr,858,0,0,858,0,0,1,0,3,1,3,5,Typ,0,0,None,,None,0,0,0,0,Y,0,0,0,0,0,0,0,None,None,0,,2006-01-01,WD,Normal,88000,-1.2515956711388494
289,20,RL,69.0,9819,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1967-01-01,1967-01-01,Gable,CompShg,MetalSd,MetalSd,BrkFace,31,3,4,CBlock,3,3,No,BLQ,450,Unf,0,432,882,GasA,3,Y,SBrkr,900,0,0,900,0,0,1,0,3,1,3,5,Typ,0,0,Detchd,1970-01-01,Unf,1,280,3,3,Y,0,0,0,0,0,0,0,MnPrv,None,0,,2010-01-01,WD,Normal,122000,-1.17164141921991
290,70,RL,60.0,8730,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,2Story,6,7,1915-01-01,2003-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,3,3,No,Unf,0,Unf,0,698,698,GasA,5,Y,FuseA,698,698,0,1396,0,0,1,0,3,1,3,7,Typ,0,0,Detchd,2003-01-01,Unf,1,384,3,3,Y,0,0,0,0,259,0,0,None,None,0,,2007-01-01,WD,Normal,153575,-0.22741977751052958
291,60,RL,120.0,15611,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2006-01-01,2006-01-01,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,Av,Unf,0,Unf,0,1079,1079,GasA,5,Y,SBrkr,1079,840,0,1919,0,0,2,1,3,1,4,8,Typ,1,4,Attchd,2006-01-01,RFn,2,685,4,3,Y,0,51,0,0,0,0,0,None,None,0,,2006-01-01,New,Partial,233230,0.7682010261467405
